id,eng_word,level,difficulty_level,first_letter,tur_word,sample_sentence_1,sample_sentence_2,picture,audio_url
750,caption,B2,6,c,başlık/altyazı,I cleaned the caption before dinner.,The small caption fell from the shelf.,,/uploads/audio/words/caption.mp3
751,captive,B2,6,c,esir,The captive detail changed the whole plan.,She gave a captive answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/captive-us.mp3
752,daft,B2,6,d,aptalca,It was a daft day for a walk.,He gave me a daft smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/daft-au.mp3
753,damn,B2,6,d,lanetlemek,We saw the damn near the window.,My friend described the damn very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/damn-us.mp3
754,dandelion,B2,6,d,karahindiba,The dandelion was part of the story.,She noticed the dandelion during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/dandelion-au.mp3
755,darling,B2,6,d,sevgili,It was a darling day for a walk.,He gave me a darling smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/darling-us.mp3
756,dash,B2,6,d,koşmak/çizgi,We saw the dash near the window.,My friend described the dash very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/dash-us.mp3
757,data,B2,6,d,veri,The data was part of the story.,She noticed the data during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/data-au-nz.mp3
758,database,B2,6,d,veritabanı,He pointed to the database on the page.,The database appeared near the end of the story.,,/uploads/audio/words/database.mp3
759,dated,B2,6,d,tarihli/eski moda,The dated answer was easy to understand.,We found a dated place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/dated-us.mp3
760,daughter-in-law,B2,6,d,gelin,She put the daughter-in-law beside her bag.,He found a daughter-in-law under the chair.,,/uploads/audio/words/daughter_in_law.mp3
761,dawn,B2,6,d,şafak,He pointed to the dawn on the page.,The dawn appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/dawn-us.mp3
762,eagerly,B2,6,e,istekle,He answered eagerly when the teacher asked.,The machine moved eagerly across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/eagerly-us.mp3
763,eagle,B2,6,e,kartal,An eagle flew over the mountain.,The eagle watched the valley from a rock.,,https://api.dictionaryapi.dev/media/pronunciations/en/eagle-us.mp3
764,earnings,B2,6,e,kazanç,He pointed to the earnings on the page.,The earnings appeared near the end of the story.,,/uploads/audio/words/earnings.mp3
765,ease,B2,6,e,kolaylık/rahatlatmak,We saw the ease near the window.,My friend described the ease very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/ease-us.mp3
766,eastward,B2,6,e,doğuya doğru,He answered eastward when the teacher asked.,The machine moved eastward across the floor.,,https://api.dictionaryapi.dev/media/pronunciations/en/eastward-us.mp3
767,ecologically,B2,6,e,ekolojik olarak,The team compared the samples ecologically.,The model reacted ecologically to the new data.,,/uploads/audio/words/ecologically.mp3
768,ecologist,B2,6,e,ekolog,A young ecologist waited outside the room.,The ecologist spoke kindly to us.,,/uploads/audio/words/ecologist.mp3
769,economical,B2,6,e,ekonomik/tasarruflu,The economical detail changed the whole plan.,She gave an economical answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/economical-us.mp3
770,economist,B2,6,e,ekonomist,The economist arrived early for work.,Everyone thanked the economist after lunch.,,/uploads/audio/words/economist.mp3
771,ecstatic,B2,6,e,kendinden geçmiş,We saw an ecstatic pattern in the results.,His ecstatic style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/ecstatic-us.mp3
772,fabric,B2,6,f,kumaş,The fabric detail changed the whole plan.,She gave a fabric answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/fabric-us.mp3
773,fabulous,B2,6,f,muhteşem,This fabulous example helped the students.,The report used a fabulous idea clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/fabulous-au.mp3
774,facilitate,B2,6,f,kolaylaştırmak,The team will facilitate the issue tomorrow.,I hope to facilitate this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/facilitate-us.mp3
775,facilities,B2,6,f,tesisler/imkanlar,The facilities was part of the story.,She noticed the facilities during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/facilities-us.mp3
776,factor,B2,6,f,faktör,He pointed to the factor on the page.,The factor appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/factor-us.mp3
777,faculty,B2,6,f,fakülte/yeti,We saw the faculty near the window.,My friend described the faculty very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/faculty-us.mp3
778,faith,B2,6,f,inanç,The report described the faith clearly.,We noticed the faith during the project.,,https://api.dictionaryapi.dev/media/pronunciations/en/faith-us.mp3
779,falter,B2,6,f,bocalamak,We need to falter the plan carefully.,He decided to falter it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/falter-uk.mp3
780,fame,B2,6,f,şöhret,We saw the fame near the window.,My friend described the fame very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/fame-us.mp3
781,fantastically,B2,6,f,harika şekilde,The system behaved fantastically during the test.,The result changed fantastically in the study.,,/uploads/audio/words/fantastically.mp3
782,gaiety,B2,6,g,neşe,He pointed to the gaiety on the page.,The gaiety appeared near the end of the story.,,/uploads/audio/words/gaiety.mp3
783,gambling,B2,6,g,kumar,We saw the gambling near the window.,My friend described the gambling very clearly.,,/uploads/audio/words/gambling.mp3
784,gang,B2,6,g,çete,The gang was part of the story.,She noticed the gang during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/gang-uk.mp3
785,gangster,B2,6,g,gangster,The gangster arrived early for work.,Everyone thanked the gangster after lunch.,,/uploads/audio/words/gangster.mp3
786,gardener,B2,6,g,bahçıvan,A young gardener waited outside the room.,The gardener spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/gardener-us.mp3
787,gasp,B2,6,g,soluk soluğa kalmak,The children like to gasp after school.,We watched the birds gasp near the trees.,,/uploads/audio/words/gasp.mp3
788,gateway,B2,6,g,geçit,The gateway was quiet in the morning.,We found the gateway at the end of the street.,,/uploads/audio/words/gateway.mp3
789,gaudy,B2,6,g,gösterişli/rüküş,The gaudy answer was easy to understand.,We found a gaudy place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/gaudy-au.mp3
790,gaze,B2,6,g,bakmak/bakış,She gave the painting a long gaze.,They gaze at the stars every night.,,https://api.dictionaryapi.dev/media/pronunciations/en/gaze-us.mp3
791,gear,B2,6,g,donanım/vites,The gear was on the wooden table.,My brother carried the gear to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/gear-au.mp3
792,habitant,B2,6,h,sakin/yerleşik,We saw the habitant near the window.,My friend described the habitant very clearly.,,/uploads/audio/words/habitant.mp3
793,hail,B2,6,h,dolu yağışı/selamlamak,Hail damaged the old roof.,The guards hail the king at the gate.,,https://api.dictionaryapi.dev/media/pronunciations/en/hail-us.mp3
794,hairy,B2,6,h,kıllı,It was a hairy day for a walk.,He gave me a hairy smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/hairy-us.mp3
795,handicap,B2,6,h,engel/dezavantaj,A broken lift was a serious handicap.,The rule gave each player a handicap.,,/uploads/audio/words/handicap.mp3
796,handicraft,B2,6,h,el sanatı,The handicraft was part of the story.,She noticed the handicraft during the lesson.,,/uploads/audio/words/handicraft.mp3
797,handout,B2,6,h,dağıtılan belge,The handout was on the wooden table.,My brother carried the handout to school.,,/uploads/audio/words/handout.mp3
798,handrail,B2,6,h,tırabzan,I cleaned the handrail before dinner.,The small handrail fell from the shelf.,,/uploads/audio/words/handrail.mp3
799,hardware,B2,6,h,donanım,She put the hardware beside her bag.,He found a hardware under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/hardware-us.mp3
800,harmless,B2,6,h,zararsız,It was a harmless day for a walk.,He gave me a harmless smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/harmless-us.mp3
801,harrow,B2,6,h,tırmık/üzmek,We saw the harrow near the window.,My friend described the harrow very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/harrow-us.mp3
802,iceman,B2,6,i,buzcu,The iceman helped a child near the door.,A friendly iceman smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/iceman-au.mp3
803,icon,B2,6,i,ikon,He pointed to the icon on the page.,The icon appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/icon-us.mp3
804,icy,B2,6,i,buzlu,The icy changed the final result.,The story included a clear icy.,,https://api.dictionaryapi.dev/media/pronunciations/en/icy-us.mp3
805,ideally,B2,6,i,ideal olarak,The system behaved ideally during the test.,The result changed ideally in the study.,,/uploads/audio/words/ideally.mp3
806,identical,B2,6,i,aynı/özdeş,This identical example helped the students.,The report used an identical idea clearly.,,/uploads/audio/words/identical.mp3
807,identification,B2,6,i,tanımlama/kimlik,The identification changed the final result.,The story included a clear identification.,,https://api.dictionaryapi.dev/media/pronunciations/en/identification-us.mp3
808,identify,B2,6,i,tanımlamak,Try to identify the main idea first.,She wants to identify the reason clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/identify-us.mp3
809,ideology,B2,6,i,ideoloji,The class discussed the ideology after the video.,This example shows the ideology clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/ideology-us.mp3
810,idiot,B2,6,i,aptal,We saw the idiot near the window.,My friend described the idiot very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/idiot-us.mp3
811,idle,B2,6,i,boş/aylak,The idle room felt calm and safe.,She chose an idle jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/idle-us.mp3
812,jaw,B2,6,j,çene,His jaw hurt after the fall.,The dog held the toy in its jaw.,,https://api.dictionaryapi.dev/media/pronunciations/en/jaw-1-us.mp3
813,jealously,B2,6,j,kıskançlıkla,She spoke jealously during the meeting.,The team worked jealously on the final task.,,/uploads/audio/words/jealously.mp3
814,journalism,B2,6,j,gazetecilik,The report described the journalism clearly.,We noticed the journalism during the project.,,/uploads/audio/words/journalism.mp3
815,judo,B2,6,j,judo,He pointed to the judo on the page.,The judo appeared near the end of the story.,,/uploads/audio/words/judo.mp3
816,juror,B2,6,j,jüri üyesi,A young juror waited outside the room.,The juror spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/juror-us.mp3
817,jury,B2,6,j,jüri,The jury was part of the story.,She noticed the jury during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/jury-us.mp3
818,justify,B2,6,j,haklı çıkarmak,We can justify the problem step by step.,He began to justify the answer during class.,,https://api.dictionaryapi.dev/media/pronunciations/en/justify-us.mp3
819,kangaroo,B2,6,k,kanguru,We saw the kangaroo near the window.,My friend described the kangaroo very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/kangaroo-us.mp3
820,karaoke,B2,6,k,karaoke,The karaoke was part of the story.,She noticed the karaoke during the lesson.,,/uploads/audio/words/karaoke.mp3
821,keen,B2,6,k,hevesli/keskin,It was a keen day for a walk.,He gave me a keen smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/keen-au.mp3
822,keeper,B2,6,k,bakıcı/koruyucu,A young keeper waited outside the room.,The keeper spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/keeper-us.mp3
823,kerosene,B2,6,k,gaz yağı,The lamp uses kerosene at night.,They stored kerosene in a metal can.,,/uploads/audio/words/kerosene.mp3
824,keystroke,B2,6,k,tuş vuruşu,He pointed to the keystroke on the page.,The keystroke appeared near the end of the story.,,/uploads/audio/words/keystroke.mp3
825,kneel,B2,6,k,diz çökmek,I saw him kneel near the park.,The crowd waited for the show to kneel.,,https://api.dictionaryapi.dev/media/pronunciations/en/kneel-us.mp3
826,knot,B2,6,k,düğüm,The knot was part of the story.,She noticed the knot during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/knot-us.mp3
827,knowingly,B2,6,k,bilerek,They walked knowingly through the quiet hall.,The student listened knowingly to the story.,,/uploads/audio/words/knowingly.mp3
828,known,B2,6,k,bilinen,The known answer was easy to understand.,We found a known place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/known-au.mp3
829,label,B2,6,l,etiket,They plan to label the problem this week.,She tried to label the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/label-us.mp3
830,lame,B2,6,l,topal/zayıf,It was a lame day for a walk.,He gave me a lame smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/lame-au.mp3
831,lance,B2,6,l,mızrak,The lance changed the final result.,The story included a clear lance.,,https://api.dictionaryapi.dev/media/pronunciations/en/lance-us.mp3
832,landing,B2,6,l,iniş,The landing room felt calm and safe.,She chose a landing jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/landing-us.mp3
833,landlady,B2,6,l,ev sahibesi,The landlady arrived early for work.,Everyone thanked the landlady after lunch.,,/uploads/audio/words/landlady.mp3
834,landslide,B2,6,l,heyelan,We saw the landslide near the window.,My friend described the landslide very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/landslide-us.mp3
835,lap,B2,6,l,kucak/tur,The cat slept on her lap.,He ran one lap around the track.,,https://api.dictionaryapi.dev/media/pronunciations/en/lap-us.mp3
836,laptop,B2,6,l,dizüstü bilgisayar,The laptop was on the wooden table.,My brother carried the laptop to school.,,/uploads/audio/words/laptop.mp3
837,lark,B2,6,l,tarla kuşu/eğlence,We saw the lark near the window.,My friend described the lark very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/lark-us.mp3
838,laser,B2,6,l,lazer,She put the laser beside her bag.,He found a laser under the chair.,,/uploads/audio/words/laser.mp3
839,madam,B2,6,m,hanımefendi,The madam arrived early for work.,Everyone thanked the madam after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/madam-au.mp3
840,madame,B2,6,m,madam,A young madame waited outside the room.,The madame spoke kindly to us.,,/uploads/audio/words/madame.mp3
841,madness,B2,6,m,delilik,The report described the madness clearly.,We noticed the madness during the project.,,/uploads/audio/words/madness.mp3
842,maestro,B2,6,m,usta şef,He pointed to the maestro on the page.,The maestro appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/maestro-au.mp3
843,magnify,B2,6,m,büyütmek,The team will magnify the issue tomorrow.,I hope to magnify this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/magnify-au.mp3
844,malady,B2,6,m,hastalık,The malady was part of the story.,She noticed the malady during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/malady-us.mp3
845,malaria,B2,6,m,sıtma,He pointed to the malaria on the page.,The malaria appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/malaria-us.mp3
846,mango,B2,6,m,mango,We shared the mango at lunch.,The cook used mango in the meal.,,https://api.dictionaryapi.dev/media/pronunciations/en/mango-au.mp3
847,manipulate,B2,6,m,manipüle etmek,They plan to manipulate the problem this week.,She tried to manipulate the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/manipulate-us.mp3
848,mansion,B2,6,m,konak,The mansion was quiet in the morning.,We found the mansion at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/mansion-uk.mp3
849,nano,B2,6,n,nano,We saw the nano near the window.,My friend described the nano very clearly.,,/uploads/audio/words/nano.mp3
850,narcissistic,B2,6,n,narsist,The narcissistic detail changed the whole plan.,She gave a narcissistic answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/narcissistic-us.mp3
851,narrator,B2,6,n,anlatıcı,The narrator arrived early for work.,Everyone thanked the narrator after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/narrator-us.mp3
852,narrowly,B2,6,n,kıl payı/dar şekilde,The plan changed narrowly after lunch.,She smiled narrowly at the good news.,,https://api.dictionaryapi.dev/media/pronunciations/en/narrowly-us.mp3
853,nationwide,B2,6,n,ülke çapında,She spoke nationwide during the meeting.,The team worked nationwide on the final task.,,/uploads/audio/words/nationwide.mp3
854,naughty,B2,6,n,yaramaz,It was a naughty day for a walk.,He gave me a naughty smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/naughty-us-cot-caught%20merger.mp3
855,naval,B2,6,n,deniz kuvvetleriyle ilgili,We saw a naval pattern in the results.,His naval style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/naval-us.mp3
856,navigate,B2,6,n,yön bulmak,They plan to navigate the problem this week.,She tried to navigate the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/navigate-us.mp3
857,navigation,B2,6,n,navigasyon,The class discussed the navigation after the video.,This example shows the navigation clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/navigation-us.mp3
858,navy,B2,6,n,donanma,People gathered outside the navy.,The old navy looked clean and bright.,,https://api.dictionaryapi.dev/media/pronunciations/en/navy-us.mp3
859,oath,B2,6,o,yemin,The report described the oath clearly.,We noticed the oath during the project.,,https://api.dictionaryapi.dev/media/pronunciations/en/oath-us.mp3
860,obedience,B2,6,o,itaat,The class discussed the obedience after the video.,This example shows the obedience clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/obedience-us.mp3
861,obedient,B2,6,o,itaatkar,The obedient answer was easy to understand.,We found an obedient place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/obedient-us.mp3
862,obey,B2,6,o,itaat etmek,They plan to obey the problem this week.,She tried to obey the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/obey-us.mp3
863,obituary,B2,6,o,ölüm ilanı,This obituary example helped the students.,The report used an obituary idea clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/obituary-uk.mp3
864,obligation,B2,6,o,yükümlülük,The obligation changed the final result.,The story included a clear obligation.,,https://api.dictionaryapi.dev/media/pronunciations/en/obligation-us.mp3
865,observer,B2,7,o,gözlemci,The observer helped a child near the door.,A friendly observer smiled during the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/observer-us.mp3
866,obsess,B2,7,o,takıntı yapmak,We need to obsess the plan carefully.,He decided to obsess it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/obsess-uk.mp3
867,obsession,B2,7,o,takıntı,The obsession changed the final result.,The story included a clear obsession.,,/uploads/audio/words/obsession.mp3
868,obsessive,B2,7,o,takıntılı,The obsessive detail changed the whole plan.,She gave an obsessive answer in class.,,/uploads/audio/words/obsessive.mp3
869,pa,B2,7,p,baba,He pointed to the pa on the page.,The pa appeared near the end of the story.,,https://api.dictionaryapi.dev/media/pronunciations/en/pa-1-uk.mp3
870,packed,B2,7,p,paketlenmiş/dolu,The packed answer was easy to understand.,We found a packed place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/packed-us.mp3
871,packet,B2,7,p,paket,She put the packet beside her bag.,He found a packet under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/packet-uk.mp3
872,pad,B2,7,p,not defteri/yastık,The pad was on the wooden table.,My brother carried the pad to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/pad-au.mp3
873,paintbrush,B2,7,p,boya fırçası,I cleaned the paintbrush before dinner.,The small paintbrush fell from the shelf.,,/uploads/audio/words/paintbrush.mp3
874,pallet,B2,7,p,palet,She put the pallet beside her bag.,He found a pallet under the chair.,,/uploads/audio/words/pallet.mp3
875,pancake,B2,7,p,pankek,The pancake tasted good with tea.,My sister put the pancake on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/pancake-us.mp3
876,pandemic,B2,7,p,pandemi,We saw a pandemic pattern in the results.,His pandemic style made the story stronger.,,https://api.dictionaryapi.dev/media/pronunciations/en/pandemic-uk.mp3
877,panel,B2,7,p,panel,She put the panel beside her bag.,He found a panel under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/panel-us.mp3
878,papaya,B2,7,p,papaya,The papaya tasted good with tea.,My sister put the papaya on a plate.,,https://api.dictionaryapi.dev/media/pronunciations/en/papaya-uk.mp3
879,paperless,B2,7,p,kağıtsız,The paperless answer was easy to understand.,We found a paperless place to rest.,,/uploads/audio/words/paperless.mp3
880,qualification,B2,7,q,yeterlilik,The report described the qualification clearly.,We noticed the qualification during the project.,,https://api.dictionaryapi.dev/media/pronunciations/en/qualification-uk.mp3
881,quantify,B2,7,q,nicelendirmek,We need to quantify the plan carefully.,He decided to quantify it after the meeting.,,/uploads/audio/words/quantify.mp3
882,quarantine,B2,7,q,karantina,The team will quarantine the issue tomorrow.,I hope to quarantine this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/quarantine-au.mp3
883,quarrel,B2,7,q,kavga etmek/kavga,The children like to quarrel after school.,We watched the birds quarrel near the trees.,,https://api.dictionaryapi.dev/media/pronunciations/en/quarrel-uk.mp3
884,quarrelsome,B2,7,q,kavgacı,It was a quarrelsome day for a walk.,He gave me a quarrelsome smile after class.,,https://api.dictionaryapi.dev/media/pronunciations/en/quarrelsome-us.mp3
885,queer,B2,7,q,tuhaf,The queer answer was easy to understand.,We found a queer place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/queer-us.mp3
886,query,B2,7,q,sorgu,The query was part of the story.,She noticed the query during the lesson.,,/uploads/audio/words/query.mp3
887,quotable,B2,7,q,alıntılanabilir,It was a quotable day for a walk.,He gave me a quotable smile after class.,,/uploads/audio/words/quotable.mp3
888,quotation,B2,7,q,alıntı,The quotation changed the final result.,The story included a clear quotation.,,https://api.dictionaryapi.dev/media/pronunciations/en/quotation-us.mp3
889,quote,B2,7,q,alıntı yapmak,Please quote clearly before you leave.,The teacher will quote the class after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/quote-us.mp3
890,racism,B2,7,r,ırkçılık,The class discussed the racism after the video.,This example shows the racism clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/racism-us.mp3
891,racist,B2,7,r,ırkçı,The racist answer was easy to understand.,We found a racist place to rest.,,/uploads/audio/words/racist.mp3
892,rack,B2,7,r,raf,She put the rack beside her bag.,He found a rack under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/rack-us.mp3
893,radar,B2,7,r,radar,The radar was on the wooden table.,My brother carried the radar to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/radar-us.mp3
894,radiate,B2,7,r,yaymak/ışımak,The team will radiate the issue tomorrow.,I hope to radiate this skill with practice.,,/uploads/audio/words/radiate.mp3
895,radical,B2,7,r,köklü/radikal,The radical detail changed the whole plan.,She gave a radical answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/radical-au.mp3
896,radically,B2,7,r,köklü şekilde,The team compared the samples radically.,The model reacted radically to the new data.,,/uploads/audio/words/radically.mp3
897,radium,B2,7,r,radyum,We saw the radium near the window.,My friend described the radium very clearly.,,https://api.dictionaryapi.dev/media/pronunciations/en/radium-uk.mp3
898,rafter,B2,7,r,kiriş,She put the rafter beside her bag.,He found a rafter under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/rafter-1-uk.mp3
899,rag,B2,7,r,paçavra,The rag was on the wooden table.,My brother carried the rag to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/rag-us.mp3
900,sack,B2,7,s,çuval/işten çıkarmak,The potatoes are in a brown sack.,The company may sack lazy workers.,,https://api.dictionaryapi.dev/media/pronunciations/en/sack-au.mp3
901,sag,B2,7,s,sarkmak,They plan to sag the problem this week.,She tried to sag the task before dinner.,,https://api.dictionaryapi.dev/media/pronunciations/en/sag-1-uk.mp3
902,sage,B2,7,s,bilge/adaçayı,A wise sage gave calm advice.,She added sage to the soup.,,https://api.dictionaryapi.dev/media/pronunciations/en/sage-us.mp3
903,sail,B2,7,s,yelken açmak,I saw him sail near the park.,The crowd waited for the show to sail.,,https://api.dictionaryapi.dev/media/pronunciations/en/sail-us.mp3
904,salary,B2,7,s,maaş,The salary detail changed the whole plan.,She gave a salary answer in class.,,https://api.dictionaryapi.dev/media/pronunciations/en/salary-us.mp3
905,salesmanship,B2,7,s,satış becerisi,The salesmanship was on the wooden table.,My brother carried the salesmanship to school.,,/uploads/audio/words/salesmanship.mp3
906,salesperson,B2,7,s,satış elemanı,A young salesperson waited outside the room.,The salesperson spoke kindly to us.,,/uploads/audio/words/salesperson.mp3
907,saleswoman,B2,7,s,satış görevlisi kadın,The saleswoman helped a child near the door.,A friendly saleswoman smiled during the meeting.,,/uploads/audio/words/saleswoman.mp3
908,salon,B2,7,s,salon,The salon was quiet in the morning.,We found the salon at the end of the street.,,https://api.dictionaryapi.dev/media/pronunciations/en/salon-us.mp3
909,salsa,B2,7,s,salsa,We saw the salsa near the window.,My friend described the salsa very clearly.,,/uploads/audio/words/salsa.mp3
910,salty,B2,7,s,tuzlu,The salty room felt calm and safe.,She chose a salty jacket for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/salty-au.mp3
911,tablecloth,B2,7,t,masa örtüsü,The tablecloth was on the wooden table.,My brother carried the tablecloth to school.,,/uploads/audio/words/tablecloth.mp3
912,tabloid,B2,7,t,tabloid gazete,I cleaned the tabloid before dinner.,The small tabloid fell from the shelf.,,/uploads/audio/words/tabloid.mp3
913,tack,B2,7,t,raptiye/taktik,Put a tack on the notice board.,The team changed its tack after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/tack-us.mp3
914,tackle,B2,7,t,ele almak/müdahale etmek,We need to tackle the plan carefully.,He decided to tackle it after the meeting.,,https://api.dictionaryapi.dev/media/pronunciations/en/tackle-us.mp3
915,tactile,B2,7,t,dokunsal,The tactile answer was easy to understand.,We found a tactile place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/tactile-uk.mp3
916,tag,B2,7,t,etiket,The tag was part of the story.,She noticed the tag during the lesson.,,https://api.dictionaryapi.dev/media/pronunciations/en/tag-1-au.mp3
917,tail,B2,7,t,kuyruk,The tail was on the wooden table.,My brother carried the tail to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/tail-au.mp3
918,tame,B2,7,t,evcil/uysal,The team will tame the issue tomorrow.,I hope to tame this skill with practice.,,https://api.dictionaryapi.dev/media/pronunciations/en/tame-us.mp3
919,tan,B2,7,t,bronzlaşmak/bronz,She got a light tan at the beach.,His tan jacket is on the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/tan-uk.mp3
920,tanned,B2,7,t,bronzlaşmış,It was a tanned day for a walk.,He gave me a tanned smile after class.,,/uploads/audio/words/tanned.mp3
921,ultimate,B2,7,u,nihai,The ultimate goal is to learn well.,This is the ultimate test of patience.,,https://api.dictionaryapi.dev/media/pronunciations/en/ultimate-uk.mp3
922,ultimately,B2,7,u,nihayetinde,He answered ultimately when the teacher asked.,The machine moved ultimately across the floor.,,/uploads/audio/words/ultimately.mp3
923,unacceptable,B2,7,u,kabul edilemez,It was an unacceptable day for a walk.,He gave me an unacceptable smile after class.,,/uploads/audio/words/unacceptable.mp3
924,unashamedly,B2,7,u,utanmadan,The plan changed unashamedly after lunch.,She smiled unashamedly at the good news.,,/uploads/audio/words/unashamedly.mp3
925,unattractive,B2,7,u,çekici olmayan,The unattractive detail changed the whole plan.,She gave an unattractive answer in class.,,/uploads/audio/words/unattractive.mp3
926,unavailable,B2,7,u,mevcut olmayan,It was an unavailable day for a walk.,He gave me an unavailable smile after class.,,/uploads/audio/words/unavailable.mp3
927,unaware,B2,7,u,habersiz,The unaware answer was easy to understand.,We found an unaware place to rest.,,https://api.dictionaryapi.dev/media/pronunciations/en/unaware-us.mp3
928,unbearable,B2,7,u,dayanılmaz,The unbearable room felt calm and safe.,She chose an unbearable jacket for the trip.,,/uploads/audio/words/unbearable.mp3
929,unbeatable,B2,7,u,yenilmez,It was an unbeatable day for a walk.,He gave me an unbeatable smile after class.,,/uploads/audio/words/unbeatable.mp3
930,unchanged,B2,7,u,değişmemiş,The unchanged answer was easy to understand.,We found an unchanged place to rest.,,/uploads/audio/words/unchanged.mp3
